#{"t_start": 1769276684.8074276, "env_id": "None"}
r,l,t
-1900.523923,500,1.204528
-1715.17498,500,1.382557
-618.707615,204,1.455933
-1822.657132,500,1.634701
-613.100841,177,1.696927
-823.372328,268,2.465589
-1948.816587,500,2.655317
-952.398429,318,2.768261
-503.793174,171,2.826965
-1759.221717,500,3.003899
-578.605492,181,3.068574
-843.68531,281,3.811222
-568.626441,187,3.883162
-1854.094993,500,4.069179
-224.725868,74,4.095678
-1693.796487,500,4.271277
-303.683909,110,4.310013
-1107.843119,355,4.434371
-1589.320996,500,5.265463
-1132.382589,412,5.427973
-257.599329,85,5.457639
-404.517354,140,5.508353
-1558.741997,500,5.681593
-724.028361,261,5.773504
-371.897212,137,5.822823
-1709.395922,500,6.646014
-1644.089492,500,6.833882
-927.471184,356,6.958817
-1691.147455,500,7.135315
-300.12624,100,7.170009
-1619.190663,500,8.010742
-1363.537683,500,8.202286
-573.348787,195,8.271548
-394.742131,155,8.325172
-658.832143,233,8.407754
-1622.299181,500,8.583124
-180.724244,61,8.604337
-1473.580186,500,9.428647
-400.253611,156,9.489633
-804.485964,250,9.584205
-1333.36905,500,9.758942
-1524.864797,500,9.934779
-573.526127,209,10.018359
-346.610247,135,10.065051
-1350.785551,500,10.91418
-1493.089771,500,11.094511
-648.175394,245,11.181716
-1333.974962,500,11.357986
-1342.237035,500,12.185376
-171.451034,71,12.214635
-1027.501209,426,12.375328
-80.105485,36,12.387875
-890.214095,377,12.521389
-279.404289,122,12.563731
-1083.461608,478,12.732504
-1210.865109,500,13.554097
-372.571886,149,13.610593
-376.94821,156,13.671091
-1126.835011,500,13.852938
-145.202612,65,13.875594
-385.251524,158,13.932929
-1097.038837,500,14.107357
-172.995607,61,14.130306
-1226.589399,500,14.970264
-1125.406813,500,15.163217
-1243.518805,500,15.342247
-333.415629,170,15.405096
-1156.940888,500,15.582499
-1186.758259,500,16.410414
-631.616021,292,16.521945
-644.268853,319,16.635573
-56.330335,27,16.645651
-393.263907,204,16.71986
-295.913408,119,16.761585
-154.520453,74,16.789559
-820.233863,386,16.925386
-118.264448,60,16.946376
-47.90956,25,16.955284
-271.039371,131,17.002609
-178.257506,92,17.034681
-265.793312,128,17.733802
-144.893998,87,17.768706
-769.355084,394,17.926004
-523.595659,293,18.031195
-69.259895,38,18.044587
-239.833616,114,18.0861
-1065.136899,500,18.264148
